_id,Year/Année,Name/Nom,Frequency/Fréquence
1,1913,MARGARET,6
2,1913,MARY,7
3,1914,GLADYS,6
4,1914,MARGARET,9
5,1914,MARY,9
6,1915,DOROTHY,9
7,1915,MARGARET,13
8,1915,MARIE,10
9,1915,MARY,7
10,1915,RUTH,7
11,1916,DORIS,6
12,1916,DOROTHY,8
13,1916,EDITH,10
14,1916,ELIZABETH,6
15,1916,MARGARET,14
16,1916,MARIE,12
17,1916,MARY,12
18,1916,RUTH,7
19,1917,ADA,89
20,1917,ADDIE,6
21,1917,ADELAIDE,12
22,1917,ADELE,10
23,1917,ADELINE,15
24,1917,AGATHA,10
25,1917,AGNES,193
26,1917,AILEEN,30
27,1917,AILI,7
28,1917,ALBERTA,29
29,1917,ALBERTINE,6
30,1917,ALDA,7
31,1917,ALFREDA,6
32,1917,ALICE,317
33,1917,ALINE,9
34,1917,ALMA,121
35,1917,ALTA,10
36,1917,ALVA,7
37,1917,AMELIA,27
38,1917,AMY,31
39,1917,ANASTASIA,10
40,1917,ANGELA,12
41,1917,ANGELINA,14
42,1917,ANGELINE,7
43,1917,ANITA,19
44,1917,ANN,26
45,1917,ANNA,300
46,1917,ANNE,51
47,1917,ANNETTE,13
48,1917,ANNIE,449
49,1917,ANTONINA,6
50,1917,AUDREY,207
51,1917,AUDRIE,7
52,1917,AUDRY,11
53,1917,BARBARA,81
54,1917,BEATRICE,227
55,1917,BELLA,24
56,1917,BELLE,6
57,1917,BERNADETTE,14
58,1917,BERNICE,97
59,1917,BERTHA,130
60,1917,BERYL,17
61,1917,BESSIE,110
62,1917,BETTY,58
63,1917,BEULAH,36
64,1917,BEVERLY,7
65,1917,BLANCH,11
66,1917,BLANCHE,53
67,1917,BRIDGET,10
68,1917,CARMEL,9
69,1917,CARMELA,6
70,1917,CARMEN,6
71,1917,CAROLINA,6
72,1917,CAROLINE,30
73,1917,CARRIE,10
74,1917,CATHARINE,68
75,1917,CATHERINE,161
76,1917,CATHLEEN,6
77,1917,CATHRINE,6
78,1917,CECELIA,13
79,1917,CECILE,23
80,1917,CECILIA,27
81,1917,CELIA,8
82,1917,CHARLOTTE,61
83,1917,CHRISTENA,6
84,1917,CHRISTINA,40
85,1917,CHRISTINE,6
86,1917,CLAIRE,9
87,1917,CLARA,117
88,1917,CONSTANCE,37
89,1917,CORA,47
90,1917,CYNTHIA,7
91,1917,DAISY,35
92,1917,DELIA,8
93,1917,DELLA,25
94,1917,DONALDA,18
95,1917,DONNA,9
96,1917,DORA,93
97,1917,DORAS,12
98,1917,DORATHY,13
99,1917,DOREEN,18
100,1917,DORIS,418
101,1917,DOROTHEA,28
102,1917,DOROTHY,993
103,1917,DORRIS,11
104,1917,DORTHA,7
105,1917,DORTHY,28
106,1917,EDITH,401
107,1917,EDNA,371
108,1917,EDYTHE,23
109,1917,EFFIE,13
110,1917,EILEEN,123
111,1917,ELAINE,18
112,1917,ELDA,7
113,1917,ELEANOR,153
114,1917,ELENA,6
115,1917,ELENOR,16
116,1917,ELINOR,16
117,1917,ELIZA,18
118,1917,ELIZABETH,395
119,1917,ELLA,86
120,1917,ELLEN,123
121,1917,ELMA,31
122,1917,ELSIE,227
123,1917,ELVA,46
124,1917,EMILY,64
125,1917,EMMA,82
126,1917,ENA,10
127,1917,ENID,15
128,1917,ERMA,26
129,1917,ERNESTINE,6
130,1917,ESTELLA,13
131,1917,ESTER,19
132,1917,ESTHER,94
133,1917,ETHEL,306
134,1917,ETTA,16
135,1917,EUGENIA,6
136,1917,EULA,8
137,1917,EUNICE,26
138,1917,EVA,196
139,1917,EVELINE,17
140,1917,EVELYN,317
141,1917,FANNIE,24
142,1917,FANNY,21
143,1917,FERN,21
144,1917,FLORA,43
145,1917,FLORANCE,16
146,1917,FLORENCE,525
147,1917,FLORIDA,9
148,1917,FLOSSIE,19
149,1917,FRANCES,253
150,1917,FRANCIS,73
151,1917,FREDA,46
152,1917,FRIEDA,11
153,1917,GABRIELLE,6
154,1917,GENEVIEVE,18
155,1917,GEORGIA,8
156,1917,GEORGINA,52
157,1917,GERALDINE,43
158,1917,GERMAINE,11
159,1917,GERTIE,11
160,1917,GERTRUDE,207
161,1917,GLADIS,6
162,1917,GLADYS,307
163,1917,GOLDIE,11
164,1917,GRACE,283
165,1917,GRACIE,7
166,1917,GRETA,21
167,1917,GWENDOLINE,20
168,1917,GWENDOLYN,32
169,1917,HANNA,6
170,1917,HANNAH,23
171,1917,HARRIET,40
172,1917,HARRIETT,15
173,1917,HATTIE,8
174,1917,HAZEL,279
175,1917,HELEN,947
176,1917,HELENA,32
177,1917,HELENE,16
178,1917,HELLEN,25
179,1917,HELMI,6
180,1917,HELVI,6
181,1917,HENRIETTA,20
182,1917,HILDA,151
183,1917,IDA,126
184,1917,ILA,22
185,1917,ILEEN,7
186,1917,ILENE,13
187,1917,INA,38
188,1917,INEZ,33
189,1917,IONA,6
190,1917,IRENE,266
191,1917,IRIS,32
192,1917,IRMA,24
193,1917,ISABEL,78
194,1917,ISABELL,22
195,1917,ISABELLA,74
196,1917,ISABELLE,29
197,1917,ISOBEL,30
198,1917,IVA,30
199,1917,IVY,46
200,1917,J,9
201,1917,JACQUELINE,9
202,1917,JANE,45
