_id,Sample Number,Sample Date,PartialPostalCode,Lead Amount (ppm)
1,1536645,2014-01-01,M4E,0.0078
2,1535456,2014-01-02,M4K,0.00011
3,1536641,2014-01-03,M1L,0.000092
4,1548101,2014-01-06,M3B,0.00019
5,1540991,2014-01-06,M6H,0.012
6,1535092,2014-01-07,M4J,0.0056
7,1535406,2014-01-08,M4K,0.00033
8,1538646,2014-01-08,M4M,0.0060
9,1535461,2014-01-09,M4G,0.00088
10,1535457,2014-01-09,M4C,0.0016
11,1537589,2014-01-10,M4C,<0.00005
12,1546023,2014-01-13,M6E,0.0015
13,1536622,2014-01-13,M6P,0.00046
14,1538648,2014-01-13,M6H,0.0067
15,1538643,2014-01-13,M6E,0.0019
16,1538637,2014-01-14,M6H,0.0063
17,1536627,2014-01-14,M6N,0.012
18,1538647,2014-01-14,M6H,0.00038
19,1538650,2014-01-15,M4L,0.00064
20,1537590,2014-01-15,M1L,0.000080
21,1540990,2014-01-16,M4K,0.0023
22,1545982,2014-01-16,M6P,0.00036
23,1540989,2014-01-16,M4R,0.014
24,1546030,2014-01-16,M6P,0.0044
25,1538649,2014-01-19,M2M,0.0015
26,1540984,2014-01-19,M9B,0.00078
27,1544830,2014-01-21,M6J,0.0016
28,1539299,2014-01-21,M4C,0.00013
29,1541351,2014-01-21,M8Z,0.000065
30,1540983,2014-01-22,M5N,0.00080
31,1546026,2014-01-22,M5R,0.000051
32,1544828,2014-01-23,M4G,0.0027
33,1546009,2014-01-23,M6H,0.0028
34,1540972,2014-01-24,M6C,0.0013
35,1542263,2014-01-24,M4E,0.0052
36,1541357,2014-01-24,M1G,<0.00005
37,1540993,2014-01-27,M2M,0.00090
38,1541344,2014-01-27,M6M,0.016
39,1544829,2014-01-27,M6H,0.0019
40,1542262,2014-01-28,M4J,0.000068
41,1541356,2014-01-28,M6R,0.012
42,1545983,2014-01-29,M4P,0.00023
43,1544526,2014-01-30,M4C,0.00012
44,1548107,2014-01-30,M5N,0.000097
45,1545984,2014-02-02,M6P,0.00030
46,1548124,2014-02-02,M5M,0.000095
47,1545985,2014-02-03,M6P,0.000090
48,1546032,2014-02-03,M6P,0.00034
49,1550659,2014-02-03,M1R,0.000055
50,1585740,2014-02-03,M2J,0.0000677
51,1545995,2014-02-03,M6P,0.00013
52,1544832,2014-02-03,M4M,0.015
53,1544831,2014-02-04,M4L,0.0039
54,1545998,2014-02-05,M6S,0.0048
55,1546042,2014-02-07,M9A,0.0034
56,1555346,2014-02-07,M6H,0.000054
57,1551432,2014-02-09,M6H,0.000080
58,1548106,2014-02-10,M1N,0.0022
59,1551406,2014-02-10,M4C,0.0042
60,1548105,2014-02-10,M4L,0.0070
61,1546863,2014-02-11,M4C,0.00064
62,1549057,2014-02-12,M4J,0.0052
63,1548103,2014-02-12,M3H,0.00031
64,1550686,2014-02-12,M1N,0.0062
65,1551431,2014-02-12,M4G,0.0017
66,1548125,2014-02-12,M2N,<0.00005
67,1550660,2014-02-13,M1E,<0.00005
68,1549070,2014-02-14,M4J,0.0039
69,1550684,2014-02-17,M6S,0.0035
70,1555518,2014-02-18,M6A,0.00090
71,1550685,2014-02-18,M6S,0.000096
72,1551404,2014-02-20,M5T,0.0018
73,1551407,2014-02-20,M4G,0.0084
74,1551410,2014-02-20,M4S,0.00057
75,1551443,2014-02-20,M6G,0.0014
76,1551408,2014-02-21,M4E,0.0011
77,1551405,2014-02-23,M6C,0.0029
78,1555537,2014-02-24,M6H,0.00095
79,1550682,2014-02-24,M4N,0.00032
80,1550688,2014-02-24,M6S,0.0088
81,1550683,2014-02-24,M6J,0.0095
82,1551409,2014-02-25,M1M,0.000060
83,1555543,2014-02-26,M6E,0.0023
84,1556413,2014-02-28,M5M,0.00010
85,1555569,2014-03-02,M3M,<0.00005
86,1556417,2014-03-06,M6J,0.0026
87,1555544,2014-03-07,M6M,0.0025
88,1556416,2014-03-07,M4J,0.00069
89,1555515,2014-03-08,M4B,0.000056
90,1555510,2014-03-10,M6K,0.0024
91,1565880,2014-03-10,M4P,<0.00005
92,1556415,2014-03-11,M6J,0.0076
93,1556412,2014-03-11,M4S,0.00027
94,1556418,2014-03-11,M6J,0.00093
95,1556414,2014-03-11,M6P,0.000079
96,1565882,2014-03-11,M6M,0.0000619
97,1559196,2014-03-13,M4C,0.00012
98,1559192,2014-03-14,M3H,0.000068
99,1565881,2014-03-14,M4K,0.000258
100,1560885,2014-03-17,M6J,0.0084
101,1562001,2014-03-17,M4K,0.00022
102,1562005,2014-03-18,M5P,0.0024
103,1565892,2014-03-18,M3J,0.0000938
104,1559191,2014-03-19,M4L,0.00014
105,1562002,2014-03-20,M6K,0.0019
106,1559203,2014-03-20,M1P,0.00032
107,1561990,2014-03-20,M4L,0.0070
108,1561989,2014-03-20,M4C,0.0030
109,1561993,2014-03-21,M4M,0.0029
110,1561992,2014-03-21,M4C,0.00085
111,1560886,2014-03-23,M6R,0.0022
