date,agegroup,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_notfull_vac_rate_per100K,cases_full_vac_rate_per100K,cases_boost_vac_rate_per100K,cases_unvac_rate_7ma,cases_partial_vac_rate_7ma,cases_notfull_vac_rate_7ma,cases_full_vac_rate_7ma,cases_boost_vac_rate_7ma
2021-09-13,0-11yrs,6.24,0,,0,,,,,,
2021-09-13,12-17yrs,13.11,1.92,,0.8,,,,,,
2021-09-13,18-39yrs,13.51,6.7,,2,,,,,,
2021-09-13,40-59yrs,10.91,6.04,,1.41,,,,,,
2021-09-13,60-79yrs,9.62,0,,0.49,,,,,,
2021-09-13,80+,13.64,0,,0.64,,,,,,
2021-09-13,ALL,9.58,5.02,,1.26,,,,,,
2021-09-14,0-11yrs,4.8,5.58,,0,,,,,,
2021-09-14,12-17yrs,17.33,5.86,,0.48,,,,,,
2021-09-14,18-39yrs,11.81,6.75,,2.09,,,,,,
2021-09-14,40-59yrs,11.26,7.98,,1.24,,,,,,
2021-09-14,60-79yrs,7.57,1.17,,0.61,,,,,,
2021-09-14,80+,13.76,0,,0.8,,,,,,
2021-09-14,ALL,8.64,6.21,,1.26,,,,,,
2021-09-15,0-11yrs,4.75,0,,0,,,,,,
2021-09-15,12-17yrs,12.9,1,,0.47,,,,,,
2021-09-15,18-39yrs,13.39,7.5,,2.25,,,,,,
2021-09-15,40-59yrs,9.65,4.28,,1.6,,,,,,
2021-09-15,60-79yrs,11.01,2.38,,0.65,,,,,,
2021-09-15,80+,5.56,0,,1.45,,,,,,
2021-09-15,ALL,8.65,5.11,,1.46,,,,,,
2021-09-16,0-11yrs,7.24,0,,0,,,,,,
2021-09-16,12-17yrs,13.96,7.06,,0.31,,,,,,
2021-09-16,18-39yrs,21.77,7.51,,3.59,,,,,,
2021-09-16,40-59yrs,15.77,6.69,,1.79,,,,,,
2021-09-16,60-79yrs,14.06,3.61,,1.4,,,,,,
2021-09-16,80+,16.84,0,,0.96,,,,,,
2021-09-16,ALL,13.3,6.54,,2.09,,,,,,
2021-09-17,0-11yrs,6.58,10.47,,0,,,,,,
2021-09-17,12-17yrs,17.47,3.05,,1.09,,,,,,
2021-09-17,18-39yrs,19.31,8.67,,2.99,,,,,,
2021-09-17,40-59yrs,10.85,4.31,,2.34,,,,,,
2021-09-17,60-79yrs,13.74,2.43,,1.33,,,,,,
2021-09-17,80+,0,0,,1.28,,,,,,
2021-09-17,ALL,11.54,6.19,,2.12,,,,,,
2021-09-18,0-11yrs,7.63,10.31,,0,,,,,,
2021-09-18,12-17yrs,19.63,4.09,,1.09,,,,,,
2021-09-18,18-39yrs,19.9,8.69,,3.24,,,,,,
2021-09-18,40-59yrs,12.17,7.24,,1.56,,,,,,
2021-09-18,60-79yrs,9.95,3.68,,1.48,,,,,,
2021-09-18,80+,8.6,0,,1.12,,,,,,
2021-09-18,ALL,12.34,7.16,,1.99,,,,,,
2021-09-19,0-11yrs,8.4,0,,0,,6.52,3.77,,0,
2021-09-19,12-17yrs,12.09,5.13,,1.08,,15.21,4.02,,0.76,
2021-09-19,18-39yrs,15.16,6.85,,2.19,,16.41,7.52,,2.62,
2021-09-19,40-59yrs,11.46,3.4,,1.75,,11.72,5.71,,1.67,
2021-09-19,60-79yrs,13.05,3.71,,1.29,,11.29,2.43,,1.04,
2021-09-19,80+,11.56,0,,2.08,,9.99,0,,1.19,
2021-09-19,ALL,11.14,5.19,,1.74,,10.74,5.92,,1.7,
2021-09-20,0-11yrs,6.58,5.11,,0,,6.57,4.5,,0,
2021-09-20,12-17yrs,11.19,5.14,,1.08,,14.94,4.48,,0.8,
2021-09-20,18-39yrs,11.89,5.92,,2.05,,16.18,7.41,,2.63,
2021-09-20,40-59yrs,11.34,3.41,,1.39,,11.79,5.33,,1.67,
2021-09-20,60-79yrs,10.04,6.2,,1.13,,11.35,3.31,,1.13,
2021-09-20,80+,8.73,0,,1.44,,9.29,0,,1.3,
2021-09-20,ALL,9.19,5.09,,1.51,,10.69,5.93,,1.74,
2021-09-21,0-11yrs,5.69,0,,0,,6.7,3.7,,0,
2021-09-21,12-17yrs,12.22,4.12,,0.77,,14.21,4.23,,0.84,
2021-09-21,18-39yrs,12.73,4.74,,1.82,,16.31,7.13,,2.59,
2021-09-21,40-59yrs,9.5,2.44,,1.46,,11.53,4.54,,1.7,
2021-09-21,60-79yrs,13.14,4.97,,0.98,,12.14,3.85,,1.18,
2021-09-21,80+,8.81,0,,1.28,,8.59,0,,1.37,
2021-09-21,ALL,8.93,3.91,,1.39,,10.73,5.6,,1.76,
2021-09-22,0-11yrs,4.7,0,,0,,6.69,3.7,,0,
2021-09-22,12-17yrs,10.87,2.06,,0.77,,13.92,4.38,,0.88,
2021-09-22,18-39yrs,9.97,3.09,,1.78,,15.82,6.5,,2.52,
2021-09-22,40-59yrs,7.52,2.45,,1.07,,11.23,4.28,,1.62,
2021-09-22,60-79yrs,9.27,1.25,,1.02,,11.89,3.69,,1.23,
2021-09-22,80+,5.95,0,,1.76,,8.64,0,,1.42,
2021-09-22,ALL,7.1,2.5,,1.3,,10.51,5.23,,1.73,
2021-09-23,0-11yrs,7.57,0,,0,,6.74,3.7,,0,
2021-09-23,12-17yrs,18.45,2.07,,0.31,,14.56,3.67,,0.88,
2021-09-23,18-39yrs,14.8,5.46,,1.78,,14.82,6.2,,2.26,
2021-09-23,40-59yrs,12.31,4.94,,1.71,,10.74,4.03,,1.61,
2021-09-23,60-79yrs,11.57,5.05,,1.21,,11.54,3.9,,1.21,
2021-09-23,80+,24.08,10.04,,0.96,,9.68,1.43,,1.42,
2021-09-23,ALL,11.12,4.89,,1.46,,10.19,4.99,,1.64,
2021-09-24,0-11yrs,7.36,0,,0,,6.85,2.2,,0,
2021-09-24,12-17yrs,22.05,7.22,,1.22,,15.21,4.26,,0.9,
2021-09-24,18-39yrs,15.31,6.43,,2.19,,14.25,5.88,,2.15,
2021-09-24,40-59yrs,14.81,10.94,,1.93,,11.3,4.97,,1.55,
2021-09-24,60-79yrs,14.92,0,,0.87,,11.71,3.55,,1.14,
2021-09-24,80+,63.69,0,,1.76,,18.77,1.43,,1.49,
2021-09-24,ALL,11.93,6.71,,1.67,,10.25,5.06,,1.58,
2021-09-25,0-11yrs,6.06,5.48,,0,,6.62,1.51,,0,
2021-09-25,12-17yrs,15,3.12,,1.06,,14.55,4.12,,0.9,
2021-09-25,18-39yrs,14.54,6.95,,1.83,,13.49,5.63,,1.95,
2021-09-25,40-59yrs,12.17,5.02,,1.73,,11.3,4.66,,1.58,
2021-09-25,60-79yrs,9.05,3.86,,1.13,,11.58,3.58,,1.09,
