OCCUPANCY_DATE,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS,CAPACITY_ACTUAL_BED,OCCUPANCY_RATE_BEDS,MONTH
2025-01-01,Mixed Adult,8.0,0.0,8.0,100.0,2025-01
2025-01-01,Mixed Adult,8.0,0.0,8.0,100.0,2025-01
2025-01-01,Men,42.0,0.0,42.0,100.0,2025-01
2025-01-01,Men,29.0,0.0,29.0,100.0,2025-01
2025-01-01,Mixed Adult,7.0,0.0,7.0,100.0,2025-01
2025-01-01,Men,16.0,2.0,18.0,88.89,2025-01
2025-01-01,Men,68.0,0.0,68.0,100.0,2025-01
2025-01-01,Men,48.0,0.0,48.0,100.0,2025-01
2025-01-01,Men,101.0,0.0,101.0,100.0,2025-01
2025-01-01,Mixed Adult,93.0,0.0,93.0,100.0,2025-01
2025-01-01,Men,62.0,0.0,62.0,100.0,2025-01
2025-01-01,Men,63.0,5.0,68.0,92.65,2025-01
2025-01-01,Men,122.0,0.0,122.0,100.0,2025-01
2025-01-01,Men,28.0,8.0,36.0,77.78,2025-01
2025-01-01,Men,53.0,0.0,53.0,100.0,2025-01
2025-01-01,Men,101.0,0.0,101.0,100.0,2025-01
2025-01-01,Mixed Adult,32.0,3.0,35.0,91.43,2025-01
2025-01-01,Women,87.0,0.0,87.0,100.0,2025-01
2025-01-01,Men,28.0,0.0,28.0,100.0,2025-01
2025-01-01,Youth,28.0,0.0,28.0,100.0,2025-01
2025-01-01,Youth,1.0,1.0,2.0,50.0,2025-01
2025-01-01,Youth,9.0,1.0,10.0,90.0,2025-01
2025-01-01,Youth,94.0,0.0,94.0,100.0,2025-01
2025-01-01,Youth,9.0,0.0,9.0,100.0,2025-01
2025-01-01,Youth,30.0,0.0,30.0,100.0,2025-01
2025-01-01,Youth,27.0,1.0,28.0,96.43,2025-01
2025-01-01,Mixed Adult,78.0,0.0,78.0,100.0,2025-01
2025-01-01,Mixed Adult,123.0,25.0,148.0,83.11,2025-01
2025-01-01,Mixed Adult,50.0,0.0,50.0,100.0,2025-01
2025-01-01,Mixed Adult,62.0,0.0,62.0,100.0,2025-01
2025-01-01,Men,30.0,0.0,30.0,100.0,2025-01
2025-01-01,Youth,49.0,1.0,50.0,98.0,2025-01
2025-01-01,Youth,40.0,0.0,40.0,100.0,2025-01
2025-01-01,Mixed Adult,5.0,0.0,5.0,100.0,2025-01
