Ward,Year,Service Request Type,Count
Beaches-East York (19),2021,Access/AODA Complaint,1
Beaches-East York (19),2021,Accessibility Complaint,5
Beaches-East York (19),2021,Adequate Heat,68
Beaches-East York (19),2021,All / Hazardous Waste / Not Picked Up,11
Beaches-East York (19),2021,All / Hazardous Waste / Pick Up Request,521
Beaches-East York (19),2021,All-Way Stop Sign Controls,1
Beaches-East York (19),2021,Alternate Side Parking,1
Beaches-East York (19),2021,Animals,3
Beaches-East York (19),2021,Appliance (Emergency),7
Beaches-East York (19),2021,Application Mail Out / Non-Res,19
Beaches-East York (19),2021,Application Status / Non-Res,3
Beaches-East York (19),2021,Bees/Wasp,9
Beaches-East York (19),2021,Bicycle Signals,1
Beaches-East York (19),2021,Bin Investigation Request,258
Beaches-East York (19),2021,Bollard - Damaged,7
Beaches-East York (19),2021,Boulevard - Pick-Up Shopping Carts,2
Beaches-East York (19),2021,Boulevard - Plough Damage,19
Beaches-East York (19),2021,Boulevards - Damaged Asphalt,54
Beaches-East York (19),2021,Boulevards - Snow Piled Too High / Too Much,5
Beaches-East York (19),2021,Boulevards - Weed Removal,11
Beaches-East York (19),2021,Boulevards-Grass Cutting,8
Beaches-East York (19),2021,Bridge - Damaged Structure,1
Beaches-East York (19),2021,Bridge - Debris / Litter,3
Beaches-East York (19),2021,Bridge - Graffiti Complaint,4
Beaches-East York (19),2021,Bridge Falling Debris,2
Beaches-East York (19),2021,Bus Stops Snow Clearing Required,2
Beaches-East York (19),2021,By-Law Contravention Invest,118
Beaches-East York (19),2021,Bylaw Enforcement: Excavation,8
Beaches-East York (19),2021,CADAVER DOMESTIC,30
Beaches-East York (19),2021,CADAVER WILDLIFE,788
Beaches-East York (19),2021,Catch Basin - Blocked / Flooding,78
Beaches-East York (19),2021,Catch Basin - Damaged Maintenance Requested,11
Beaches-East York (19),2021,Catch Basin - Debris / Litter,18
Beaches-East York (19),2021,Catch Basin -Cover Missing / Damaged / Loose,3
Beaches-East York (19),2021,Catch basin (Storm) - Damage,20
Beaches-East York (19),2021,Catch basin (Storm) - Other,8
Beaches-East York (19),2021,Catch basin (Storm) - Overflowing,18
Beaches-East York (19),2021,Catch basin Maintenance and Repair,14
Beaches-East York (19),2021,Commercial Dog Walkers,5
Beaches-East York (19),2021,Commercial Enterprises,6
Beaches-East York (19),2021,Commercial Tree Maint Req,6
Beaches-East York (19),2021,Commercial Tree Planting,1
Beaches-East York (19),2021,Commercial Tree Pruning,13
Beaches-East York (19),2021,Commercial Tree Removal,3
Beaches-East York (19),2021,Commercial Tree Storm Clean Up,4
Beaches-East York (19),2021,Complaint - Crossing Guard Conduct,13
Beaches-East York (19),2021,Complaint / Investigation - Grass and Weeds Enforcement,9
Beaches-East York (19),2021,Complaint / Investigation - Idling Enforcement,4
Beaches-East York (19),2021,Complaint / Investigation - Leaves,2
Beaches-East York (19),2021,Complaint / Investigation - Water Discharge,12
Beaches-East York (19),2021,Complaint-Disability,1
Beaches-East York (19),2021,Complaint-Outcome of the Service,48
Beaches-East York (19),2021,Complaint-Process and Procedures,19
Beaches-East York (19),2021,Complaint-Staff Conduct,7
Beaches-East York (19),2021,Complaint-Time Line of the Service,31
Beaches-East York (19),2021,Complaint/Investigation - Encroachment,139
Beaches-East York (19),2021,Complaint/Investigation -Abandoned Bikes,4
Beaches-East York (19),2021,Compliment-Employee/Operation,5
Beaches-East York (19),2021,Conduct,4
Beaches-East York (19),2021,Containers,9
Beaches-East York (19),2021,Contaminated Waste/Preparation,3
Beaches-East York (19),2021,Culverts - Blocked,1
Beaches-East York (19),2021,Curb - Adjust Height (Too High/Low),21
Beaches-East York (19),2021,Curb - Damaged,10
Beaches-East York (19),2021,Dangerous Private Tree Investigation,96
Beaches-East York (19),2021,Dead Animal On Expressway,1
Beaches-East York (19),2021,Disabled Persons' Parking Space,20
Beaches-East York (19),2021,Dispute SR Status/Bins,66
Beaches-East York (19),2021,Dispute SR Status/Collections Curb Day,97
Beaches-East York (19),2021,Dispute SR Status/Collections FEL,10
Beaches-East York (19),2021,Dispute SR Status/Collections Nights,6
Beaches-East York (19),2021,Dispute SR Status/Litter Operations,3
Beaches-East York (19),2021,District Operations-Attitude and Behavior,2
Beaches-East York (19),2021,District Operations-Compliment,4
Beaches-East York (19),2021,District Operations-Construction Site Unsafe,2
Beaches-East York (19),2021,District Operations-Contractor Related,8
Beaches-East York (19),2021,District Operations-Equipment/Untidy Const Site,6
Beaches-East York (19),2021,District Operations-Process,37
Beaches-East York (19),2021,District Operations-Restoration,19
Beaches-East York (19),2021,District Operations-Timeliness,21
Beaches-East York (19),2021,Dogs off Leash,49
Beaches-East York (19),2021,Driveway - Damaged / Ponding,27
Beaches-East York (19),2021,Driveway-Blocked By Windrow,1
Beaches-East York (19),2021,EAB Exemption Request,2
Beaches-East York (19),2021,ENF/INVEST AN TO AN,10
Beaches-East York (19),2021,ENF/INVEST AN TO HU,24
Beaches-East York (19),2021,ENF/INVEST ANIM CARE,37
Beaches-East York (19),2021,ENF/INVEST ATTACK TO AN,20
Beaches-East York (19),2021,ENF/INVEST ATTACK TO HU,14
Beaches-East York (19),2021,ENF/INVEST DAL HOME,14
Beaches-East York (19),2021,ENF/INVEST EXCREMENT,16
Beaches-East York (19),2021,ENF/INVEST EXTREME,5
Beaches-East York (19),2021,ENF/INVEST LICENCE,2
Beaches-East York (19),2021,ENF/INVEST MENACE,12
Beaches-East York (19),2021,ENF/INVEST MUZZLE,1
Beaches-East York (19),2021,ENF/INVEST NO LEASH,26
Beaches-East York (19),2021,ENF/INVEST PIGEONS,2
Beaches-East York (19),2021,ENF/INVEST PIT BULL,2
Beaches-East York (19),2021,ENF/INVEST PROH ANIMA,2
Beaches-East York (19),2021,ENF/INVEST SHELTER,2
Beaches-East York (19),2021,ENF/INVEST TOO MANY,5
Beaches-East York (19),2021,ENF/INVEST UNSAN COND,14
Beaches-East York (19),2021,ENF/INVEST WALK MANY,2
Beaches-East York (19),2021,Election Signs,8
Beaches-East York (19),2021,Encroachments,1
Beaches-East York (19),2021,FEL Multi-Res / Recycle Cart / Not Picked Up,8
Beaches-East York (19),2021,FEL Multi-Res Furniture / Not Picked Up,31
Beaches-East York (19),2021,FEL Multi-Res Yard Waste / Not Picked Up,2
Beaches-East York (19),2021,FEL Non-Res / Garbage / Not Picked Up,24
Beaches-East York (19),2021,FEL Non-Res Organic / Not Picked Up,2
Beaches-East York (19),2021,FEL Non-Res Organic Cart / Not Picked Up,2
Beaches-East York (19),2021,FEL Non-Res Recycle Cart / Not Picked Up,2
Beaches-East York (19),2021,FEL Non-Res Recycle FEL / Not Picked Up,10
Beaches-East York (19),2021,Fence,47
Beaches-East York (19),2021,Fence - Damaged,5
Beaches-East York (19),2021,Fireworks,17
Beaches-East York (19),2021,Games,3
Beaches-East York (19),2021,Garbage / Park / Bin Installation,2
Beaches-East York (19),2021,Garbage / Park / Bin Missing,1
Beaches-East York (19),2021,Garbage / Park / Bin Overflow,14
Beaches-East York (19),2021,General Parking Regulations,11
Beaches-East York (19),2021,General Pruning,737
Beaches-East York (19),2021,General Tree Maintenance,107
Beaches-East York (19),2021,Graffiti,22
Beaches-East York (19),2021,Guardrail - Damaged,2
Beaches-East York (19),2021,Gypsy Moth Control Insp,19
Beaches-East York (19),2021,Heavy Trucks,1
Beaches-East York (19),2021,Hydrant-Damage,10
Beaches-East York (19),2021,Hydrant-Leaking,7
Beaches-East York (19),2021,INJUR/DIST DOMESTIC,29
Beaches-East York (19),2021,INJUR/DIST WILDLIFE,784
Beaches-East York (19),2021,IPM Inspection,14
Beaches-East York (19),2021,Ice and Snow Complaint,66
Beaches-East York (19),2021,Illegal Dumping,29
Beaches-East York (19),2021,Illegal Off-Street Parking,30
Beaches-East York (19),2021,Illegal On-Street Parking,3
Beaches-East York (19),2021,Intersection Safety Review,10
Beaches-East York (19),2021,Investigate Pavement Markings,13
Beaches-East York (19),2021,Investigate Regulatory Signs,36
Beaches-East York (19),2021,Investigate Temporary Condition Markings,2
Beaches-East York (19),2021,Investigate Temporary Condition Signs,7
Beaches-East York (19),2021,Investigate Vehicles Leaving Roadway,2
Beaches-East York (19),2021,Investigate Warning Signs,6
Beaches-East York (19),2021,Lane Designation,1
Beaches-East York (19),2021,Laneway - Salting / Sanding / Salt,5
Beaches-East York (19),2021,Laneway - Surface Damage,27
Beaches-East York (19),2021,Left/Right Turn Signal Priority Features,6
Beaches-East York (19),2021,Litter / Bike Removal Inquiry,3
Beaches-East York (19),2021,Litter / Bin / Graffiti on Bin,1
Beaches-East York (19),2021,Litter / Bin / Overflow or Not Picked Up,86
Beaches-East York (19),2021,Litter / Illegal Dumping Cleanup,130
Beaches-East York (19),2021,Litter / Laneway / Clean Up,47
