OBJECTID,INDEX,ACCNUM,DATE,ACCIDENT_YEAR,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
1,3389067,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
2,3389068,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
3,3389069,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
4,3389070,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
5,3389071,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
6,3389072,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
7,3389073,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
8,3389074,893184,01/01/2006,2006,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,43.699595,-79.318797,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,25 to 29,None,,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,635468.3685,4839880.764
9,3433023,909646,01/01/2006,2006,315,DANFORTH AVE,WEST LYNN AVE,,Major Arterial,Toronto and East York,43.684874,-79.316188,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,10 to 14,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,64,Woodbine Corridor,64,Woodbine Corridor (64),D55,635711.8004,4838250.056
10,3433024,909646,01/01/2006,2006,315,DANFORTH AVE,WEST LYNN AVE,,Major Arterial,Toronto and East York,43.684874,-79.316188,Intersection Related,No Control,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,64,Woodbine Corridor,64,Woodbine Corridor (64),D55,635711.8004,4838250.056
