NEIGHBOURHOOD_140,KSI_Collisions
Agincourt North (129),194
Agincourt South-Malvern West (128),181
Alderwood (20),107
Annex (95),236
Banbury-Don Mills (42),198
Bathurst Manor (34),119
Bay Street Corridor (76),445
Bayview Village (52),125
Bayview Woods-Steeles (49),57
Bedford Park-Nortown (39),137
Beechborough-Greenbrook (112),71
Bendale (127),233
Birchcliffe-Cliffside (122),135
Black Creek (24),75
Blake-Jones (69),49
Briar Hill-Belgravia (108),77
Bridle Path-Sunnybrook-York Mills (41),48
Broadview North (57),78
Brookhaven-Amesbury (30),116
Cabbagetown-South St.James Town (71),113
Caledonia-Fairbank (109),86
Casa Loma (96),91
Centennial Scarborough (133),88
Church-Yonge Corridor (75),293
Clairlea-Birchmount (120),287
Clanton Park (33),141
Cliffcrest (123),96
Corso Italia-Davenport (92),123
Danforth (66),28
Danforth East York (59),59
Don Valley Village (47),136
Dorset Park (126),174
Dovercourt-Wallace Emerson-Junction (93),238
Downsview-Roding-CFB (26),314
Dufferin Grove (83),127
East End-Danforth (62),135
Edenbridge-Humber Valley (9),97
Eglinton East (138),145
Elms-Old Rexdale (5),37
Englemount-Lawrence (32),62
Eringate-Centennial-West Deane (11),97
Etobicoke West Mall (13),58
Flemingdon Park (44),110
Forest Hill North (102),57
Forest Hill South (101),60
Glenfield-Jane Heights (25),168
Greenwood-Coxwell (65),87
Guildwood (140),25
Henry Farm (53),58
High Park North (88),54
High Park-Swansea (87),179
Highland Creek (134),35
Hillcrest Village (48),81
Humber Heights-Westmount (8),73
Humber Summit (21),132
Humbermede (22),116
Humewood-Cedarvale (106),57
Ionview (125),44
Islington-City Centre West (14),326
Junction Area (90),148
Keelesdale-Eglinton West (110),162
Kennedy Park (124),180
Kensington-Chinatown (78),268
Kingsview Village-The Westway (6),103
Kingsway South (15),41
L'Amoreaux (117),205
Lambton Baby Point (114),18
Lansing-Westgate (38),93
Lawrence Park North (105),34
Lawrence Park South (103),76
Leaside-Bennington (56),90
Little Portugal (84),119
Long Branch (19),49
Malvern (132),250
Maple Leaf (29),33
Markland Wood (12),47
Milliken (130),256
Mimico (includes Humber Bay Shores) (17),280
Morningside (135),66
Moss Park (73),268
Mount Dennis (115),76
Mount Olive-Silverstone-Jamestown (2),154
Mount Pleasant East (99),90
Mount Pleasant West (104),113
NSA,154
New Toronto (18),88
Newtonbrook East (50),133
Newtonbrook West (36),135
Niagara (82),226
North Riverdale (68),112
North St.James Town (74),40
O'Connor-Parkview (54),55
Oakridge (121),76
Oakwood Village (107),122
Old East York (58),150
Palmerston-Little Italy (80),91
Parkwoods-Donalda (45),68
Pelmo Park-Humberlea (23),97
Playter Estates-Danforth (67),20
Pleasant View (46),44
Princess-Rosethorn (10),57
Regent Park (72),70
Rexdale-Kipling (4),94
Rockcliffe-Smythe (111),177
Roncesvalles (86),95
Rosedale-Moore Park (98),129
Rouge (131),295
Runnymede-Bloor West Village (89),50
Rustic (28),34
Scarborough Village (139),94
South Parkdale (85),295
South Riverdale (70),355
St.Andrew-Windfields (40),108
Steeles (116),169
Stonegate-Queensway (16),161
Tam O'Shanter-Sullivan (118),218
Taylor-Massey (61),42
The Beaches (63),93
Thistletown-Beaumond Heights (3),100
Thorncliffe Park (55),62
Trinity-Bellwoods (81),135
University (79),112
Victoria Village (43),141
Waterfront Communities-The Island (77),740
West Hill (136),169
West Humber-Clairville (1),592
Westminster-Branson (35),58
Weston (113),104
Weston-Pellam Park (91),93
Wexford/Maryvale (119),361
Willowdale East (51),189
Willowdale West (37),66
Willowridge-Martingrove-Richview (7),107
Woburn (137),409
Woodbine Corridor (64),98
Woodbine-Lumsden (60),43
Wychwood (94),110
Yonge-Eglinton (100),67
Yonge-St.Clair (97),60
York University Heights (27),271
Yorkdale-Glen Park (31),136
