year,gender,name,freq
1913,Female,MARGARET,6
1913,Female,MARY,7
1914,Female,GLADYS,6
1914,Female,MARGARET,9
1914,Female,MARY,9
1915,Female,DOROTHY,9
1915,Female,MARGARET,13
1915,Female,MARIE,10
1915,Female,MARY,7
1915,Female,RUTH,7
1916,Female,DORIS,6
1916,Female,DOROTHY,8
1916,Female,EDITH,10
1916,Female,ELIZABETH,6
1916,Female,MARGARET,14
1916,Female,MARIE,12
1916,Female,MARY,12
1916,Female,RUTH,7
1917,Female,ADA,89
1917,Female,ADDIE,6
1917,Female,ADELAIDE,12
1917,Female,ADELE,10
1917,Female,ADELINE,15
1917,Female,AGATHA,10
1917,Female,AGNES,193
1917,Female,AILEEN,30
1917,Female,AILI,7
1917,Female,ALBERTA,29
1917,Female,ALBERTINE,6
1917,Female,ALDA,7
1917,Female,ALFREDA,6
1917,Female,ALICE,317
1917,Female,ALINE,9
1917,Female,ALMA,121
1917,Female,ALTA,10
1917,Female,ALVA,7
1917,Female,AMELIA,27
1917,Female,AMY,31
1917,Female,ANASTASIA,10
1917,Female,ANGELA,12
1917,Female,ANGELINA,14
1917,Female,ANGELINE,7
1917,Female,ANITA,19
1917,Female,ANN,26
1917,Female,ANNA,300
1917,Female,ANNE,51
1917,Female,ANNETTE,13
1917,Female,ANNIE,449
1917,Female,ANTONINA,6
1917,Female,AUDREY,207
1917,Female,AUDRIE,7
1917,Female,AUDRY,11
1917,Female,BARBARA,81
1917,Female,BEATRICE,227
1917,Female,BELLA,24
1917,Female,BELLE,6
1917,Female,BERNADETTE,14
1917,Female,BERNICE,97
1917,Female,BERTHA,130
1917,Female,BERYL,17
1917,Female,BESSIE,110
1917,Female,BETTY,58
1917,Female,BEULAH,36
1917,Female,BEVERLY,7
1917,Female,BLANCH,11
1917,Female,BLANCHE,53
1917,Female,BRIDGET,10
1917,Female,CARMEL,9
1917,Female,CARMELA,6
1917,Female,CARMEN,6
1917,Female,CAROLINA,6
1917,Female,CAROLINE,30
1917,Female,CARRIE,10
1917,Female,CATHARINE,68
1917,Female,CATHERINE,161
1917,Female,CATHLEEN,6
1917,Female,CATHRINE,6
1917,Female,CECELIA,13
1917,Female,CECILE,23
1917,Female,CECILIA,27
1917,Female,CELIA,8
1917,Female,CHARLOTTE,61
1917,Female,CHRISTENA,6
1917,Female,CHRISTINA,40
1917,Female,CHRISTINE,6
1917,Female,CLAIRE,9
1917,Female,CLARA,117
1917,Female,CONSTANCE,37
1917,Female,CORA,47
1917,Female,CYNTHIA,7
1917,Female,DAISY,35
1917,Female,DELIA,8
1917,Female,DELLA,25
1917,Female,DONALDA,18
1917,Female,DONNA,9
1917,Female,DORA,93
1917,Female,DORAS,12
1917,Female,DORATHY,13
1917,Female,DOREEN,18
1917,Female,DORIS,418
1917,Female,DOROTHEA,28
1917,Female,DOROTHY,993
1917,Female,DORRIS,11
1917,Female,DORTHA,7
1917,Female,DORTHY,28
1917,Female,EDITH,401
1917,Female,EDNA,371
1917,Female,EDYTHE,23
1917,Female,EFFIE,13
1917,Female,EILEEN,123
1917,Female,ELAINE,18
1917,Female,ELDA,7
1917,Female,ELEANOR,153
1917,Female,ELENA,6
1917,Female,ELENOR,16
1917,Female,ELINOR,16
1917,Female,ELIZA,18
1917,Female,ELIZABETH,395
1917,Female,ELLA,86
1917,Female,ELLEN,123
1917,Female,ELMA,31
1917,Female,ELSIE,227
1917,Female,ELVA,46
1917,Female,EMILY,64
1917,Female,EMMA,82
1917,Female,ENA,10
1917,Female,ENID,15
1917,Female,ERMA,26
1917,Female,ERNESTINE,6
1917,Female,ESTELLA,13
1917,Female,ESTER,19
1917,Female,ESTHER,94
1917,Female,ETHEL,306
1917,Female,ETTA,16
1917,Female,EUGENIA,6
1917,Female,EULA,8
1917,Female,EUNICE,26
1917,Female,EVA,196
1917,Female,EVELINE,17
1917,Female,EVELYN,317
1917,Female,FANNIE,24
1917,Female,FANNY,21
1917,Female,FERN,21
1917,Female,FLORA,43
1917,Female,FLORANCE,16
1917,Female,FLORENCE,525
1917,Female,FLORIDA,9
1917,Female,FLOSSIE,19
1917,Female,FRANCES,253
1917,Female,FRANCIS,73
1917,Female,FREDA,46
1917,Female,FRIEDA,11
1917,Female,GABRIELLE,6
1917,Female,GENEVIEVE,18
1917,Female,GEORGIA,8
1917,Female,GEORGINA,52
1917,Female,GERALDINE,43
1917,Female,GERMAINE,11
1917,Female,GERTIE,11
1917,Female,GERTRUDE,207
1917,Female,GLADIS,6
1917,Female,GLADYS,307
1917,Female,GOLDIE,11
1917,Female,GRACE,283
1917,Female,GRACIE,7
1917,Female,GRETA,21
1917,Female,GWENDOLINE,20
1917,Female,GWENDOLYN,32
1917,Female,HANNA,6
1917,Female,HANNAH,23
1917,Female,HARRIET,40
1917,Female,HARRIETT,15
1917,Female,HATTIE,8
1917,Female,HAZEL,279
1917,Female,HELEN,947
1917,Female,HELENA,32
1917,Female,HELENE,16
1917,Female,HELLEN,25
1917,Female,HELMI,6
1917,Female,HELVI,6
1917,Female,HENRIETTA,20
1917,Female,HILDA,151
1917,Female,IDA,126
1917,Female,ILA,22
1917,Female,ILEEN,7
1917,Female,ILENE,13
1917,Female,INA,38
1917,Female,INEZ,33
1917,Female,IONA,6
1917,Female,IRENE,266
1917,Female,IRIS,32
